county,cases,deaths,fips,log_cases,log_deaths
Cook,1193914,14936.0,17031.0,6.076973044824687,4.174234304941022
DuPage,224631,1806.0,17043.0,5.351469690482486,3.256717745977487
Will,169447,1612.0,17197.0,5.229033884209223,3.2073650374690716
Lake,159179,1466.0,17097.0,5.201885772034235,3.166133970305109
Kane,131751,1179.0,17089.0,5.119753920224878,3.071513805095089
McHenry,79189,511.0,17111.0,4.898664858722267,2.708420900134713
Winnebago,79104,855.0,17201.0,4.898198444736685,2.931966114728173
Madison,71577,866.0,17119.0,4.854773491892081,2.937517892017347
St. Clair,70571,776.0,17163.0,4.848626271485499,2.8898617212581885
Champaign,67086,296.0,17019.0,4.826631897857146,2.4712917110589387
Sangamon,56637,432.0,17167.0,4.753100241186811,2.635483746814912
McLean,52348,330.0,17113.0,4.7189000937406265,2.5185139398778875
Peoria,47902,555.0,17143.0,4.680353646417297,2.7442929831226763
Tazewell,37644,500.0,17179.0,4.57569576474537,2.6989700043360187
Rock Island,33837,523.0,17161.0,4.5293918513764115,2.718501688867274
Kendall,32538,171.0,17093.0,4.512390854819099,2.2329961103921536
Macon,31113,354.0,17115.0,4.492941888981732,2.5490032620257876
LaSalle,29734,442.0,17099.0,4.473253337091734,2.645422269349092
Kankakee,29350,373.0,17091.0,4.467608105583634,2.571708831808688
Vermilion,28275,313.0,17183.0,4.451402613597493,2.4955443375464483
DeKalb,24537,201.0,17037.0,4.389821462910523,2.303196057420489
Williamson,22816,263.0,17199.0,4.3582395081717715,2.419955748489758
Adams,22525,238.0,17001.0,4.352664799651101,2.376576957056512
Jackson,15840,130.0,17077.0,4.199755177253475,2.113943352306837
Whiteside,15768,268.0,17195.0,4.197776611271387,2.428134794028789
Coles,15526,175.0,17029.0,4.191059581827398,2.2430380486862944
Ogle,14285,136.0,17141.0,4.154880244718762,2.1335389083702174
Boone,14162,130.0,17007.0,4.151124590050682,2.113943352306837
Grundy,13009,140.0,17063.0,4.114243913688908,2.146128035678238
Macoupin,12975,171.0,17117.0,4.113107366520495,2.2329961103921536
Henry,12884,150.0,17073.0,4.110050716147653,2.1760912590556813
Knox,12722,246.0,17095.0,4.104555391240513,2.3909351071033793
Franklin,12272,178.0,17055.0,4.088915346604906,2.250420002308894
Clinton,12066,122.0,17027.0,4.081563320980385,2.0863598306747484
Marion,11933,217.0,17121.0,4.0767496406240005,2.3364597338485296
Stephenson,11687,176.0,17177.0,4.067703044040066,2.24551266781415
Jefferson,11159,176.0,17081.0,4.047625277581783,2.24551266781415
Livingston,10928,148.0,17105.0,4.038540686337457,2.1702617153949575
Effingham,10711,150.0,17049.0,4.029830019310658,2.1760912590556813
Woodford,10578,124.0,17203.0,4.0244035626829655,2.093421685162235
Randolph,10567,132.0,17157.0,4.023951707423388,2.12057393120585
Christian,10330,131.0,17021.0,4.014100321519621,2.1172712956557644
Fulton,10257,135.0,17057.0,4.011020355516257,2.130333768495006
Logan,9922,100.0,17107.0,3.9965992227001665,2.0
Montgomery,9872,111.0,17135.0,3.9944051466891666,2.0453229787866576
Morgan,9661,144.0,17137.0,3.985022082109535,2.1583624920952498
Monroe,9633,128.0,17133.0,3.983761560286165,2.1072099696478683
Lee,9020,118.0,17103.0,3.9552065375419416,2.0718820073061255
Bureau,8461,140.0,17011.0,3.927421695050419,2.146128035678238
Saline,7935,111.0,17165.0,3.899546931090867,2.0453229787866576
Perry,7509,106.0,17145.0,3.8755821043278855,2.0253058652647704
McDonough,7303,105.0,17109.0,3.86350130064145,2.0211892990699383
Iroquois,7294,118.0,17075.0,3.8629657589777624,2.0718820073061255
Fayette,7155,104.0,17051.0,3.8546096380957953,2.0170333392987803
Douglas,6609,61.0,17041.0,3.82013575187043,1.7853298350107671
Jersey,6320,91.0,17083.0,3.800717078282385,1.9590413923210936
Shelby,6262,80.0,17173.0,3.7967130632808965,1.9030899869919435
Crawford,6249,61.0,17033.0,3.7958105246674085,1.7853298350107671
Lawrence,5489,52.0,17101.0,3.739493230781615,1.7160033436347992
Union,5415,68.0,17181.0,3.733598460961339,1.8325089127062364
Wayne,5320,85.0,17191.0,3.7259116322950483,1.9294189257142929
Edgar,5209,79.0,17045.0,3.716754357432697,1.8976270912904414
Richland,5167,83.0,17159.0,3.7132384615456617,1.919078092376074
Pike,5050,70.0,17149.0,3.7032913781186614,1.845098040014257
Clark,4887,60.0,17023.0,3.689042339028172,1.7781512503836436
Clay,4750,74.0,17025.0,3.6766936096248664,1.8692317197309762
Cass,4640,44.0,17017.0,3.6665179805548807,1.6434526764861874
Piatt,4575,29.0,17147.0,3.6603910984024672,1.462397997898956
Johnson,4538,46.0,17087.0,3.6568644915489172,1.662757831681574
Ford,4496,75.0,17053.0,3.652826302561005,1.8750612633917
De Witt,4424,45.0,17039.0,3.6458151182966416,1.6532125137753437
Hancock,4420,58.0,17067.0,3.645422269349092,1.7634279935629373
White,4413,59.0,17193.0,3.6447339274471924,1.7708520116421442
Bond,4370,37.0,17005.0,3.640481436970422,1.568201724066995
Carroll,4301,49.0,17015.0,3.6335694425540916,1.6901960800285136
Jo Daviess,4105,39.0,17085.0,3.6133131614554594,1.591064607026499
Moultrie,4100,52.0,17139.0,3.6127838567197355,1.7160033436347992
Warren,4089,87.0,17187.0,3.6116171105543358,1.9395192526186185
Mercer,4087,47.0,17131.0,3.6114046377115936,1.6720978579357175
Mason,3980,61.0,17125.0,3.5998830720736876,1.7853298350107671
Massac,3887,71.0,17127.0,3.5896145406312665,1.8512583487190752
Wabash,3730,31.0,17185.0,3.5717088318086874,1.4913616938342726
Greene,3663,58.0,17061.0,3.5638369186645447,1.7634279935629373
Menard,3560,24.0,17129.0,3.5514499979728753,1.380211241711606
Washington,3455,41.0,17189.0,3.5384480517102173,1.6127838567197355
Cumberland,3381,49.0,17035.0,3.529045170765769,1.6901960800285136
Marshall,2809,33.0,17123.0,3.4485517392015783,1.5185139398778875
Jasper,2691,33.0,17079.0,3.4299136977637543,1.5185139398778875
Brown,2430,21.0,17009.0,3.385606273598312,1.3222192947339193
Hamilton,2181,34.0,17065.0,3.3386556655787003,1.5314789170422551
Schuyler,1977,29.0,17169.0,3.2960066693136723,1.462397997898956
Edwards,1749,29.0,17047.0,3.2427898094786767,1.462397997898956
Pulaski,1730,19.0,17153.0,3.2380461031287955,1.2787536009528289
Calhoun,1537,8.0,17013.0,3.1866738674997452,0.9030899869919435
Stark,1536,33.0,17175.0,3.186391215695493,1.5185139398778875
Gallatin,1415,18.0,17059.0,3.150756439860309,1.255272505103306
Alexander,1288,15.0,17003.0,3.1099158630237933,1.1760912590556813
Scott,1276,12.0,17171.0,3.1058506743851435,1.0791812460476249
Henderson,1166,28.0,17071.0,3.0666985504229953,1.4471580313422192
Putnam,1158,10.0,17155.0,3.0637085593914173,1.0
Hardin,1059,20.0,17069.0,3.024895960107485,1.3010299956639813
Pope,960,8.0,17151.0,2.9822712330395684,0.9030899869919435
